geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2009,F,Y60-64,ED0-2,89.7,Austria,83.2
AT,2009,F,Y40-59,ED5-8,182.7,Austria,83.2
AT,2009,F,Y20-24,ED5-8,14.2,Austria,83.2
AT,2009,F,Y40-44,ED5-8,58.3,Austria,83.2
AT,2009,F,Y50-54,ED5-8,42.7,Austria,83.2
AT,2009,F,Y25-29,TOTAL,272.1,Austria,83.2
AT,2009,F,Y65-69,ED0-2,106.9,Austria,83.2
AT,2009,M,Y15-64,ED0-2,540.6,Austria,77.6
AT,2009,M,Y20-64,ED0-2,325.4,Austria,77.6
AT,2009,M,Y25-64,ED3_4,1503,Austria,77.6
AT,2009,M,Y20-24,ED5-8,8.1,Austria,77.6
AT,2009,M,Y50-59,ED5-8,105.4,Austria,77.6
AT,2009,M,Y25-54,ED0-2,205.1,Austria,77.6
AT,2009,M,Y40-44,ED3_4,236.6,Austria,77.6
AT,2009,M,Y50-54,ED0-2,39.9,Austria,77.6
AT,2009,M,Y50-64,ED0-2,124.7,Austria,77.6
AT,2009,M,Y25-29,TOTAL,272.6,Austria,77.6
AT,2009,M,Y55-59,ED5-8,48.1,Austria,77.6
AT,2009,M,Y50-54,ED3_4,187.4,Austria,77.6
AT,2009,M,Y50-64,ED5-8,151.2,Austria,77.6
AT,2009,M,Y25-49,ED0-2,165.2,Austria,77.6
AT,2009,M,Y60-64,ED5-8,45.7,Austria,77.6
AT,2009,M,Y45-49,ED0-2,39.8,Austria,77.6
AT,2009,M,Y15-39,ED0-2,335.8,Austria,77.6
AT,2009,M,Y25-74,ED0-2,378,Austria,77.6
AT,2009,M,Y25-54,TOTAL,1822.3,Austria,77.6
AT,2009,M,Y15-74,ED5-8,564.3,Austria,77.6
AT,2009,M,Y15-59,ED3_4,1607,Austria,77.6
AT,2009,M,Y40-59,TOTAL,1221.2,Austria,77.6
AT,2009,M,Y40-59,ED5-8,260.4,Austria,77.6
AT,2009,M,Y40-44,TOTAL,356,Austria,77.6
AT,2009,M,Y60-64,TOTAL,213.7,Austria,77.6
AT,2009,M,Y25-49,ED3_4,1043.4,Austria,77.6
AT,2009,M,Y25-74,TOTAL,2636.5,Austria,77.6
AT,2009,M,Y25-54,ED3_4,1230.8,Austria,77.6
AT,2009,M,Y30-34,ED3_4,177.1,Austria,77.6
AT,2009,M,Y25-29,ED3_4,198.4,Austria,77.6
AT,2009,M,Y55-59,ED3_4,144.4,Austria,77.6
AT,2009,M,Y15-64,ED3_4,1734.9,Austria,77.6
AT,2009,M,Y55-64,TOTAL,450.9,Austria,77.6
AT,2009,M,Y15-39,TOTAL,1328.8,Austria,77.6
AT,2009,M,Y60-64,ED3_4,127.9,Austria,77.6
AT,2009,M,Y25-59,ED0-2,249.8,Austria,77.6
AT,2009,M,Y50-74,ED3_4,658.8,Austria,77.6
AT,2009,M,Y20-24,ED0-2,35.5,Austria,77.6
AT,2009,M,Y25-49,TOTAL,1537.6,Austria,77.6
AT,2009,M,Y15-39,ED5-8,182.2,Austria,77.6
AT,2009,M,Y25-39,ED5-8,174.1,Austria,77.6
AT,2009,M,Y40-64,ED3_4,924,Austria,77.6
AT,2009,M,Y20-64,ED3_4,1706.9,Austria,77.6
AT,2009,M,Y35-39,ED5-8,69.5,Austria,77.6
AT,2009,M,Y45-49,ED3_4,227.8,Austria,77.6
AT,2009,M,Y40-44,ED5-8,79.1,Austria,77.6
AT,2009,M,Y50-59,ED0-2,84.6,Austria,77.6
AT,2009,M,Y45-49,ED5-8,75.9,Austria,77.6
AT,2009,M,Y50-59,TOTAL,521.8,Austria,77.6
AT,2009,M,Y35-39,ED0-2,30.2,Austria,77.6
AT,2009,M,Y40-59,ED0-2,164.7,Austria,77.6
AT,2009,M,Y15-24,ED3_4,231.8,Austria,77.6
AT,2009,M,Y50-64,TOTAL,735.5,Austria,77.6
AT,2009,M,Y50-74,TOTAL,1098.8,Austria,77.6
AT,2009,M,Y50-74,ED0-2,212.8,Austria,77.6
AT,2009,M,Y50-59,ED3_4,331.8,Austria,77.6
AT,2009,M,Y15-24,ED5-8,8.1,Austria,77.6
AT,2009,M,Y40-64,TOTAL,1434.9,Austria,77.6
AT,2009,M,Y25-59,ED3_4,1375.2,Austria,77.6
