unit,sex,statinfo,geography,date,value
YR,F,LE_0,CZ,2014,82.0
YR,F,LE_0,DE,2014,83.6
YR,F,LE_0,DK,2014,82.8
YR,F,LE_0,EE,2014,81.9
YR,F,LE_0,EL,2014,84.1
YR,F,LE_0,ES,2014,86.2
YR,F,LE_0,EU27_2020,2014,83.7
YR,F,LE_0,EU28,2014,83.6
YR,F,LE_0,FI,2014,84.1
YR,F,LE_0,FR,2014,86.1
YR,F,LE_0,HR,2014,81.0
YR,F,LE_0,HU,2014,79.4
YR,F,LE_0,IE,2014,83.5
YR,F,LE_0,IS,2014,84.5
YR,F,LE_0,IT,2014,85.6
YR,F,LE_0,LT,2014,80.1
YR,F,LE_0,LU,2014,85.2
YR,F,LE_0,LV,2014,79.4
YR,F,LE_0,MT,2014,84.3
YR,F,LE_0,NL,2014,83.5
YR,F,LE_0,NO,2014,84.2
YR,F,LE_0,PL,2014,81.7
YR,F,LE_0,PT,2014,84.4
YR,F,LE_0,RO,2014,78.7
YR,F,LE_0,SE,2014,84.2
YR,F,LE_0,SI,2014,84.1
YR,F,LE_0,SK,2014,80.5
YR,F,LE_0,UK,2014,83.2
YR,M,LE_0,AT,2014,79.1
YR,M,LE_0,BE,2014,78.8
YR,M,LE_0,BG,2014,71.1
YR,M,LE_0,CH,2014,81.1
YR,M,LE_0,CY,2014,80.3
YR,M,LE_0,CZ,2014,75.8
YR,M,LE_0,DE,2014,78.7
YR,M,LE_0,DK,2014,78.7
YR,M,LE_0,EE,2014,72.4
YR,M,LE_0,EL,2014,78.8
YR,M,LE_0,ES,2014,80.4
YR,M,LE_0,EU27_2020,2014,77.9
YR,M,LE_0,EU28,2014,78.1
YR,M,LE_0,FI,2014,78.4
YR,M,LE_0,FR,2014,79.5
YR,M,LE_0,HR,2014,74.7
YR,M,LE_0,HU,2014,72.3
YR,M,LE_0,IE,2014,79.3
YR,M,LE_0,IS,2014,81.3
YR,M,LE_0,IT,2014,80.7
YR,M,LE_0,LT,2014,69.2
YR,M,LE_0,LU,2014,79.4
YR,M,LE_0,LV,2014,69.1
YR,M,LE_0,MT,2014,79.9
YR,M,LE_0,NL,2014,80.0
YR,M,LE_0,NO,2014,80.1
YR,M,LE_0,PL,2014,73.7
YR,M,LE_0,PT,2014,78.0
YR,M,LE_0,RO,2014,71.3
YR,M,LE_0,SE,2014,80.4
YR,M,LE_0,SI,2014,78.2
YR,M,LE_0,SK,2014,73.3
YR,M,LE_0,UK,2014,79.5
YR,F,LE_0,AT,2015,83.7
YR,F,LE_0,BE,2015,83.4
YR,F,LE_0,BG,2015,78.2
YR,F,LE_0,CH,2015,85.1
YR,F,LE_0,CY,2015,83.7
YR,F,LE_0,CZ,2015,81.6
